[1, 'label']	39
[2, 's1', 'heading']	Making the Priestly Garments
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	From the
[5, 'p1', 'verse', 'v1', 'note', 'x']	#ch.35:23,25
[6, 'p1', 'verse', 'v1', 'content']	blue and purple and scarlet yarns they made
[7, 'p1', 'verse', 'v1', 'note', 'x']	#ver.41;ch.31:10;35:19
[8, 'p1', 'verse', 'v1', 'content']	finely woven garments,
[9, 'p1', 'verse', 'v1', 'note', 'f']	#39:1Orgarments for worship
[10, 'p1', 'verse', 'v1', 'content']	for ministering in the Holy Place. They made the holy garments for Aaron,
[11, 'p1', 'verse', 'v1', 'note', 'x']	#ch.28:2-4
[12, 'p1', 'verse', 'v1', 'content']	as the
[13, 'p1', 'verse', 'v1', 'nd']	Lord
[14, 'p1', 'verse', 'v1', 'content']	had commanded Moses.
['v001_ESV_EXO_039', 15, 'p1', 'verse', 'v1', 'plain_text']	1 From the blue and purple and scarlet yarns they made finely woven garments, for ministering in the Holy Place. They made the holy garments for Aaron, as the Lord had commanded Moses.
[16, 'p2', 'verse', 'v2', 'label']	2
[17, 'p2', 'verse', 'v2', 'note', 'x']	#For ver. 2-7, see ch.28:6-12
[18, 'p2', 'verse', 'v2', 'content']	He made the ephod of gold, blue and purple and scarlet yarns, and fine twined linen.
['v002_ESV_EXO_039', 19, 'p2', 'verse', 'v2', 'plain_text']	2 He made the ephod of gold, blue and purple and scarlet yarns, and fine twined linen.
[20, 'p2', 'verse', 'v3', 'label']	3
[21, 'p2', 'verse', 'v3', 'content']	And they hammered out gold leaf, and he cut it into threads to work into the blue and purple and the scarlet yarns, and into the fine twined linen, in skilled design.
['v003_ESV_EXO_039', 22, 'p2', 'verse', 'v3', 'plain_text']	3 And they hammered out gold leaf, and he cut it into threads to work into the blue and purple and the scarlet yarns, and into the fine twined linen, in skilled design.
[23, 'p2', 'verse', 'v4', 'label']	4
[24, 'p2', 'verse', 'v4', 'content']	They made for the ephod attaching shoulder pieces, joined to it at its two edges.
['v004_ESV_EXO_039', 25, 'p2', 'verse', 'v4', 'plain_text']	4 They made for the ephod attaching shoulder pieces, joined to it at its two edges.
[26, 'p2', 'verse', 'v5', 'label']	5
[27, 'p2', 'verse', 'v5', 'content']	And the skillfully woven band on it was of one piece with it and made like it, of gold, blue and purple and scarlet yarns, and fine twined linen, as the
[28, 'p2', 'verse', 'v5', 'nd']	Lord
[29, 'p2', 'verse', 'v5', 'content']	had commanded Moses.
['v005_ESV_EXO_039', 30, 'p2', 'verse', 'v5', 'plain_text']	5 And the skillfully woven band on it was of one piece with it and made like it, of gold, blue and purple and scarlet yarns, and fine twined linen, as the Lord had commanded Moses.
[31, 'p3', 'verse', 'v6', 'label']	6
[32, 'p3', 'verse', 'v6', 'content']	They made the onyx stones, enclosed in settings of gold filigree, and engraved like the engravings of a signet, according to the names of the sons of Israel.
['v006_ESV_EXO_039', 33, 'p3', 'verse', 'v6', 'plain_text']	6 They made the onyx stones, enclosed in settings of gold filigree, and engraved like the engravings of a signet, according to the names of the sons of Israel.
[34, 'p3', 'verse', 'v7', 'label']	7
[35, 'p3', 'verse', 'v7', 'content']	And he set them on the shoulder pieces of the ephod to be stones of remembrance for the sons of Israel, as the
[36, 'p3', 'verse', 'v7', 'nd']	Lord
[37, 'p3', 'verse', 'v7', 'content']	had commanded Moses.
['v007_ESV_EXO_039', 38, 'p3', 'verse', 'v7', 'plain_text']	7 And he set them on the shoulder pieces of the ephod to be stones of remembrance for the sons of Israel, as the Lord had commanded Moses.
[39, 'p4', 'verse', 'v8', 'label']	8
[40, 'p4', 'verse', 'v8', 'note', 'x']	#For ver. 8-21, see ch.28:15-28
[41, 'p4', 'verse', 'v8', 'content']	He made the breastpiece, in skilled work, in the style of the ephod, of gold, blue and purple and scarlet yarns, and fine twined linen.
['v008_ESV_EXO_039', 42, 'p4', 'verse', 'v8', 'plain_text']	8 He made the breastpiece, in skilled work, in the style of the ephod, of gold, blue and purple and scarlet yarns, and fine twined linen.
[43, 'p4', 'verse', 'v9', 'label']	9
[44, 'p4', 'verse', 'v9', 'content']	It was square. They made the breastpiece doubled, a span
[45, 'p4', 'verse', 'v9', 'note', 'f']	#39:9Aspanwas about 9 inches or 22 centimeters
[46, 'p4', 'verse', 'v9', 'content']	its length and a span its breadth when doubled.
['v009_ESV_EXO_039', 47, 'p4', 'verse', 'v9', 'plain_text']	9 It was square. They made the breastpiece doubled, a span its length and a span its breadth when doubled.
[48, 'p4', 'verse', 'v10', 'label']	10
[49, 'p4', 'verse', 'v10', 'content']	And they set in it four rows of stones. A row of sardius, topaz, and carbuncle was the first row;
['v010_ESV_EXO_039', 50, 'p4', 'verse', 'v10', 'plain_text']	10 And they set in it four rows of stones. A row of sardius, topaz, and carbuncle was the first row;
[51, 'p4', 'verse', 'v11', 'label']	11
[52, 'p4', 'verse', 'v11', 'content']	and the second row, an emerald, a sapphire, and a diamond;
['v011_ESV_EXO_039', 53, 'p4', 'verse', 'v11', 'plain_text']	11 and the second row, an emerald, a sapphire, and a diamond;
[54, 'p4', 'verse', 'v12', 'label']	12
[55, 'p4', 'verse', 'v12', 'content']	and the third row, a jacinth, an agate, and an amethyst;
['v012_ESV_EXO_039', 56, 'p4', 'verse', 'v12', 'plain_text']	12 and the third row, a jacinth, an agate, and an amethyst;
[57, 'p4', 'verse', 'v13', 'label']	13
[58, 'p4', 'verse', 'v13', 'content']	and the fourth row, a beryl, an onyx, and a jasper. They were enclosed in settings of gold filigree.
['v013_ESV_EXO_039', 59, 'p4', 'verse', 'v13', 'plain_text']	13 and the fourth row, a beryl, an onyx, and a jasper. They were enclosed in settings of gold filigree.
[60, 'p4', 'verse', 'v14', 'label']	14
[61, 'p4', 'verse', 'v14', 'content']	There were twelve stones with their names according to the names of the sons of Israel. They were like signets, each engraved with its name, for the twelve tribes.
['v014_ESV_EXO_039', 62, 'p4', 'verse', 'v14', 'plain_text']	14 There were twelve stones with their names according to the names of the sons of Israel. They were like signets, each engraved with its name, for the twelve tribes.
[63, 'p4', 'verse', 'v15', 'label']	15
[64, 'p4', 'verse', 'v15', 'content']	And they made on the breastpiece twisted chains like cords, of pure gold.
['v015_ESV_EXO_039', 65, 'p4', 'verse', 'v15', 'plain_text']	15 And they made on the breastpiece twisted chains like cords, of pure gold.
[66, 'p4', 'verse', 'v16', 'label']	16
[67, 'p4', 'verse', 'v16', 'content']	And they made two settings of gold filigree and two gold rings, and put the two rings on the two edges of the breastpiece.
['v016_ESV_EXO_039', 68, 'p4', 'verse', 'v16', 'plain_text']	16 And they made two settings of gold filigree and two gold rings, and put the two rings on the two edges of the breastpiece.
[69, 'p4', 'verse', 'v17', 'label']	17
[70, 'p4', 'verse', 'v17', 'content']	And they put the two cords of gold in the two rings at the edges of the breastpiece.
['v017_ESV_EXO_039', 71, 'p4', 'verse', 'v17', 'plain_text']	17 And they put the two cords of gold in the two rings at the edges of the breastpiece.
[72, 'p4', 'verse', 'v18', 'label']	18
[73, 'p4', 'verse', 'v18', 'content']	They attached the two ends of the two cords to the two settings of filigree. Thus they attached it in front to the shoulder pieces of the ephod.
['v018_ESV_EXO_039', 74, 'p4', 'verse', 'v18', 'plain_text']	18 They attached the two ends of the two cords to the two settings of filigree. Thus they attached it in front to the shoulder pieces of the ephod.
[75, 'p4', 'verse', 'v19', 'label']	19
[76, 'p4', 'verse', 'v19', 'content']	Then they made two rings of gold, and put them at the two ends of the breastpiece, on its inside edge next to the ephod.
['v019_ESV_EXO_039', 77, 'p4', 'verse', 'v19', 'plain_text']	19 Then they made two rings of gold, and put them at the two ends of the breastpiece, on its inside edge next to the ephod.
[78, 'p4', 'verse', 'v20', 'label']	20
[79, 'p4', 'verse', 'v20', 'content']	And they made two rings of gold, and attached them in front to the lower part of the two shoulder pieces of the ephod, at its seam above the skillfully woven band of the ephod.
['v020_ESV_EXO_039', 80, 'p4', 'verse', 'v20', 'plain_text']	20 And they made two rings of gold, and attached them in front to the lower part of the two shoulder pieces of the ephod, at its seam above the skillfully woven band of the ephod.
[81, 'p4', 'verse', 'v21', 'label']	21
