[1, 'label']	33
[2, 's1', 'heading']	The Command to Leave Sinai
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	The
[5, 'p1', 'verse', 'v1', 'nd']	Lord
[6, 'p1', 'verse', 'v1', 'content']	said to Moses, “Depart; go up from here, you
[7, 'p1', 'verse', 'v1', 'note', 'x']	#ch.32:7
[8, 'p1', 'verse', 'v1', 'content']	and the people whom you have brought up out of the land of Egypt, to the land of which I swore to Abraham, Isaac, and Jacob, saying, ‘To
[9, 'p1', 'verse', 'v1', 'note', 'x']	#ch.32:13;SeeGen. 12:7
[10, 'p1', 'verse', 'v1', 'content']	your offspring I will give it.’
['v001_ESV_EXO_033', 11, 'p1', 'verse', 'v1', 'plain_text']	1 The Lord said to Moses, “Depart; go up from here, you and the people whom you have brought up out of the land of Egypt, to the land of which I swore to Abraham, Isaac, and Jacob, saying, ‘To your offspring I will give it.’
[12, 'p1', 'verse', 'v2', 'label']	2
[13, 'p1', 'verse', 'v2', 'content']	I will send an
[14, 'p1', 'verse', 'v2', 'note', 'x']	#See ch.14:19
[15, 'p1', 'verse', 'v2', 'content']	angel before you,
[16, 'p1', 'verse', 'v2', 'note', 'x']	#See ch.13:5
[17, 'p1', 'verse', 'v2', 'content']	and I will drive out the Canaanites, the Amorites, the Hittites, the Perizzites, the Hivites, and the Jebusites.
['v002_ESV_EXO_033', 18, 'p1', 'verse', 'v2', 'plain_text']	2 I will send an angel before you, and I will drive out the Canaanites, the Amorites, the Hittites, the Perizzites, the Hivites, and the Jebusites.
[19, 'p1', 'verse', 'v3', 'label']	3
[20, 'p1', 'verse', 'v3', 'note', 'x']	#See ch.3:8
[21, 'p1', 'verse', 'v3', 'content']	Go up to a land flowing with milk and honey;
[22, 'p1', 'verse', 'v3', 'note', 'x']	#[ver.15-17]
[23, 'p1', 'verse', 'v3', 'content']	but I will not go up among you,
[24, 'p1', 'verse', 'v3', 'note', 'x']	#ch.32:10;Num. 16:21,45
[25, 'p1', 'verse', 'v3', 'content']	lest I consume you on the way, for you are a
[26, 'p1', 'verse', 'v3', 'note', 'x']	#See ch.32:9
[27, 'p1', 'verse', 'v3', 'content']	stiff-necked people.”
['v003_ESV_EXO_033', 28, 'p1', 'verse', 'v3', 'plain_text']	3 Go up to a land flowing with milk and honey; but I will not go up among you, lest I consume you on the way, for you are a stiff-necked people.”
[29, 'p2', 'verse', 'v4', 'label']	4
[30, 'p2', 'verse', 'v4', 'content']	When the people heard this disastrous word, they
[31, 'p2', 'verse', 'v4', 'note', 'x']	#Num. 14:39
[32, 'p2', 'verse', 'v4', 'content']	mourned, and
[33, 'p2', 'verse', 'v4', 'note', 'x']	#[Ezek. 24:17,23;26:16]
[34, 'p2', 'verse', 'v4', 'content']	no one put on his ornaments.
['v004_ESV_EXO_033', 35, 'p2', 'verse', 'v4', 'plain_text']	4 When the people heard this disastrous word, they mourned, and no one put on his ornaments.
[36, 'p2', 'verse', 'v5', 'label']	5
[37, 'p2', 'verse', 'v5', 'content']	For the
[38, 'p2', 'verse', 'v5', 'nd']	Lord
[39, 'p2', 'verse', 'v5', 'content']	had said to Moses, “Say to the people of Israel, ‘You are a
[40, 'p2', 'verse', 'v5', 'note', 'x']	#[See ver.3above]
[41, 'p2', 'verse', 'v5', 'content']	stiff-necked people; if for a single moment I should go up among you, I would
[42, 'p2', 'verse', 'v5', 'note', 'x']	#ch.32:12
[43, 'p2', 'verse', 'v5', 'content']	consume you. So now
[44, 'p2', 'verse', 'v5', 'note', 'x']	#[See ver.4above]
[45, 'p2', 'verse', 'v5', 'content']	take off your ornaments, that I may know what to do with you.’”
['v005_ESV_EXO_033', 46, 'p2', 'verse', 'v5', 'plain_text']	5 For the Lord had said to Moses, “Say to the people of Israel, ‘You are a stiff-necked people; if for a single moment I should go up among you, I would consume you. So now take off your ornaments, that I may know what to do with you.’”
[47, 'p2', 'verse', 'v6', 'label']	6
